Longitude,Latitude,Ontario_Geospatial_ID,MOH_ID,Service_Type,Service_Detail,Name_Health_Provider,Address,Unit/Floor,Address_Type,Community/Muncipality,Postal_Code
-75.70579484,45.40722105,137289346,40137,Pharmacy,RP,Bell Pharmacy,737 Gladstone Avenue,0,0,Ottawa,K1R6X4
-81.64392804,42.95570206,137289347,40397,Pharmacy,LTCF,Strathmere Lodge,599 Albert Street,0,0,Strathroy,N7G1X1
-79.80494412,43.68056927,137289348,43599,Pharmacy,RP,Westbram Pharmasave,100 Pertosa Drive,0,0,Brampton,L6X5E9
-80.3552293,43.71252925,137289349,44437,Pharmacy,LTCF,Wellington Terrace Home,474 Wellington Road 18,0,0,Fergus,N1M0A1
-81.15967957,42.80422745,137289350,44758,Pharmacy,LTCF,Valleyview Home,350 Burwell Road,0,0,St. Thomas,N5P0A3
-79.71927988,43.48289684,137289351,51810,Pharmacy,RP,Wal-Mart Pharmacy,235 Hays Boulevard,0,0,Oakville,L6H6M8
-82.64875531,46.38643318,137289352,54354,Pharmacy,RP,Freitag's Pharmacy,36 Prince Edward Walk,0,0,Elliot Lake,P5A1Z8
-75.9311177,45.26833412,137289353,59974,Pharmacy,RP,Stittsville Drug Mart,1250 Stittsville Main Street,"Unit 21, Stittsville Shopping Centre",0,Ottawa,K2S1S9
-79.46588744,43.99399824,137289354,62112,Pharmacy,RP,Aurora Medical Centre Pharmacy,15017 Yonge Street,Suite 204,0,Aurora,L4G1M5
-79.13310966,43.0893093,137289355,69516,Pharmacy,RP,Orchard Grove Pharmacy,8123 Lundy's Lane,0,0,Niagara Falls,L2H1H3
-80.53612223,43.41778079,137289356,70997,Pharmacy,RP,Driftwood Pharmasave Pharmacy,450 Westheights Drive,Unit 12,0,Kitchener,N2N2B9
-78.34575951,44.28246684,137289357,74056,Pharmacy,RP,Kashyap's Pharmacy,1040 Lansdowne Street West,0,0,Peterborough,K9J2A1
-79.19995408,43.1238685,137289358,77712,Pharmacy,RP,Pharma Viva Pharmacy,6 Clairmont Street,0,0,Thorold,L2V1R1
-80.56003744,43.43787139,137289359,79435,Pharmacy,RP,Cooks Pharmacy,520 University Avenue,Unit 101,0,Waterloo,N2T2Z6
-81.39322535,48.47486177,137289360,82118,Pharmacy,RP,Wal-Mart Pharmacy,1870 Riverside Drive,0,0,Timmins,P4N7C3
-76.65574606,45.47962502,137289361,82591,Pharmacy,RP,Wal-Mart Pharmacy,980 O'brien Road,R.R. 1,0,Renfrew,K7V3Z4
-75.50839138,45.45140297,137289362,82911,Pharmacy,RP,Wal-Mart Pharmacy,3900 Innes Road,0,0,Ottawa,K1C1T1
-79.28831707,43.86821413,137289363,83876,Pharmacy,RP,Wal-Mart Pharmacy,5000 Highway 7,0,0,Markham,L3R4M9
-79.81203659,43.33139171,137289364,84615,Pharmacy,LTCF,Wellington Park Care Centre,802 Hager Avenue,0,0,Burlington,L7S1Y2
-92.8376545,49.78646107,137289365,85099,Pharmacy,RP,Wal-Mart Pharmacy,Highway 17 East,0,0,Dryden,P8N2Y6
-80.25558732,43.15691886,137289366,89736,Pharmacy,LTCF,Fox Ridge Care Community,389 West Street,0,0,Brantford,N3R3V9
-82.21877057,42.43394693,137289367,89790,Pharmacy,RP,Wal-Mart Pharmacy,881 Saint Clair Street,0,0,Chatham-Kent,N7M5T7
-79.20176114,43.79764702,137289368,93419,Pharmacy,RP,Wal-Mart Pharmacy,799 Milner Avenue,0,0,Toronto,M1B3C3
-79.56587895,43.68304688,137289369,101838,Pharmacy,RP,Shoppers Drug Mart #845,415 The Westway,0,0,Toronto,M9R1H5
-79.7026425,43.85468331,137289370,105237,Pharmacy,RP,Total Health Pharmacy,12295 Highway 50,0,0,Caledon,L7E1M2
-79.70975391,43.86372741,137289371,106192,Pharmacy,RP,Total Health Pharmacy,170 McEwan Drive East,0,0,Caledon,L7E4C8
-79.93053146,44.76966505,137289372,107654,Pharmacy,LTCF,Georgian Manor,7 Harriet Street,0,0,Penetanguishene,L0K1P0
-80.94831077,46.52060849,137289373,107716,Pharmacy,RP,Wal-Mart Pharmacy,1349 Lasalle Boulevard,0,0,Greater Sudbury,P3A1Z2
-82.3793571,49.40205084,137289374,112915,Pharmacy,RP,Wal-Mart Pharmacy,350 Government Road,0,0,Kapuskasing,P5N2X7
-79.68617074,44.33142929,137289375,114995,Pharmacy,RP,Sobeys Pharmacy #7237,37 Mapleview Drive West,0,0,Barrie,L4N9H5
-79.44066656,46.31464193,137289376,119017,Pharmacy,RP,Wal-Mart Pharmacy,1500 Fisher Street,0,0,North Bay,P1B2H3
-76.66081105,44.21591431,137289377,123912,Pharmacy,RP,Hunt's Pharmacy,6 Speers Boulevard,Unit K,0,Amherstview,K7N1Z6
-80.51502243,43.470125,137289378,126991,Pharmacy,RP,Sobeys Pharmacy # 7239,94 Bridgeport Road East,0,0,Waterloo,N2J2J4
-75.74346284,45.26806093,137289379,127071,Pharmacy,RP,The Drug Store Pharmacy #1035,3201 Greenbank Road,0,0,Ottawa,K2J4H9
-79.7338568,43.66418497,137289380,127632,Pharmacy,RP,Loblaw Pharmacy #2801,85 Steeles Avenue West,0,0,Brampton,L6Y0K3
-81.29614393,43.02383798,137289381,130192,Pharmacy,LTCF,Mcgarrell Place,355 Mcgarrell Drive,0,0,London,N6G0B1
-82.59956925,42.05299535,137289382,130753,Pharmacy,RP,Leamington Wellness Pharmacy,4 Talbot Street East,0,0,Leamington,N8H1L2
-82.38680347,42.98613792,137289383,132751,Pharmacy,RP,Shoppers Drug Mart #1032,510 Exmouth Street,0,0,Sarnia,N7T5P3
-79.38676119,43.67072659,137289384,135810,Pharmacy,LTCF,Willows Estate Nh (The),755 Yonge Street,R.R. 2,0,Toronto,L4G3G8
-79.43953721,43.7562291,137289385,136276,Pharmacy,RP,Shoppers Drug Mart #804,598 Sheppard Avenue West,0,0,Toronto,M3H2S1
-79.48128975,44.05395615,137289386,137033,Pharmacy,RP,St George Medcare & Pharmacy,17480 Yonge Street,Unit C2B,0,Newmarket,L3Y8A7
-79.59054691,43.2041991,137289387,138513,Pharmacy,RP,Drugstore Pharmacy #2806,361 South Service Road,0,0,Grimsby,L3M4E8
-79.24084515,43.77501191,137289388,141199,Pharmacy,RP,Healthcare Pharmacy,1920 Ellesmere Road,Unit 107,0,Toronto,M1H2V6
-79.76287767,43.23017149,137289389,142679,Pharmacy,RP,Pharmaserve,68 Centennial Parkway North,0,0,Hamilton,L8E1H6
-79.44824096,44.22708608,137289390,145319,Pharmacy,RP,Loblaw Pharmacy #520,24018 Woodbine Avenue,0,0,Georgina,L4P3E9
-79.44973534,44.01519075,137289391,153675,Pharmacy,RP,Hollandview Pharmacy,372 Hollandview Trail,0,0,Aurora,L4G7H2
-75.85720078,45.29194193,137289392,154317,Pharmacy,RP,Bridlewood Drug Mart,64 Stonehaven Drive,0,0,Ottawa,K2M2Y2
-79.38606199,43.66050619,137289393,154834,Pharmacy,RP,Bay College Drug Mart,790 Bay Street,0,0,Toronto,M5G1N8
-79.81882209,43.32449321,137289394,159633,Pharmacy,RP,Shoppers Drug Mart #747,900 Maple Avenue,Unit A6A,0,Burlington,L7S2J8
-80.24105171,43.13886085,137289395,161256,Pharmacy,RP,Loblaw Pharmacy #4042,603 Colborne Street,0,0,Brantford,N3S7S8
-77.40112719,44.18865947,137289396,161675,Pharmacy,RP,Shoppers Drug Mart #601,390 North Front Street,0,0,Belleville,K8P3E1
-79.50967053,43.71965229,137289397,162530,Pharmacy,RP,Drugstore Phcy #4327,1591 Wilson Avenue,0,0,Toronto,M3L1A5
-81.27516492,42.99024418,137289398,163913,Pharmacy,RP,Shoppers Drug Mart #968,301 Oxford Street West,0,0,London,N6H1S6
-79.20584449,44.31499361,137289399,166215,Pharmacy,RP,Ben's Pharmacy,319 Pefferlaw Road,0,0,Georgina,L0E1N0
-79.53341194,43.70811019,137289400,166796,Pharmacy,RP,Loblaw Pharmacy,2549 Weston Road,0,0,Toronto,M9N2A7
-79.71326018,43.59944916,137289401,167651,Pharmacy,RP,Drugstore Pharmacy #4336,6085 Creditview Road,0,0,Mississauga,L5V2A8
-83.02846361,42.30173397,137289402,172119,Pharmacy,RP,Medical Centre Pharmacy,1428 Ouellette Avenue,0,0,Windsor,N8X1K4
-79.28502086,43.74691121,137289403,177999,Pharmacy,RP,Extra Care Pharmacy,2155 Lawrence Avenue East,Unit 9,0,Toronto,M1R5G9
-79.43320672,43.85942172,137289404,181396,Pharmacy,RP,Health Link Pharmacy,9555 Yonge Street,Unit 15 & 16,0,Richmond Hill,L4C9M5
-80.19056143,43.50094942,137289405,182992,Pharmacy,RP,Shoppers Drug Mart #1213,7 Clair Road West,0,0,Guelph,N1L0A6
-79.31202087,43.7054374,137289406,185739,Pharmacy,LTCF,St. Clair/o'connor Comm. Nh,2703 St Clair Avenue East,0,0,Toronto,M4B3M3
-79.68704754,44.33282589,137289407,186854,Pharmacy,RP,Wal-Mart Pharmacy,35 Mapleview Drive West,0,0,Barrie,L4N9H5
-79.62310323,44.3641363,137289408,188111,Pharmacy,LTCF,Bob Rumball Home for the Deaf,1 Royal Parkside Drive,0,0,Barrie,L4M0C4
-82.59816325,42.03083044,137289409,192133,Pharmacy,LTCF,Franklin Gardens,24 Franklin Road,Long Term Care Home,0,Leamington,N8H3X4
-79.78379147,43.21622929,137289410,193310,Pharmacy,RP,Danmar Pharmacy,205 Quigley Road,Unit 8,0,Hamilton,L8K5M8
-81.17565157,42.76363054,137289411,197192,Pharmacy,RP,Shoppers Drug Mart #969,204 First Avenue,0,0,St. Thomas,N5R4P5
-89.24675736,48.40042406,137289412,200598,Pharmacy,RP,Shoppers Drug Mart #680,1186 Memorial Avenue,0,0,Thunder Bay,P7B5K5
-75.64964222,45.41315556,137289413,206798,Pharmacy,RP,Wal-Mart Pharmacy,450 Terminal Avenue,0,0,Ottawa,K1G0Z3
-81.31519782,48.47825497,137289414,208616,Pharmacy,RP,Loblaw Pharmacy  #4087,654 Algonquin Boulevard East,0,0,Timmins,P4N8R4
-79.03148949,43.86088864,137289415,210916,Pharmacy,RP,Loblaw Pharmacy #1012,30 Kingston Road West,0,0,Ajax,L1T4K8
-79.59919236,43.73148809,137289416,212273,Pharmacy,RP,Humber Green Pharmacy,100 Humber College Boulevard,0,0,Toronto,M9V5G4
-80.28929805,43.35691429,137289417,218277,Pharmacy,RP,Drugstore Pharmacy #576,200 Franklin Boulevard,0,0,Cambridge,N1R5R6
-79.34917258,43.68955259,137289418,221414,Pharmacy,RP,Stanbury's Pharmacy,1032 Pape Avenue,0,0,Toronto,M4K3W2
-82.91793015,42.03646583,137289419,222155,Pharmacy,RP,Hometown Family Pharmacy,38 Queen Street,0,0,Essex,N0R1G0
-81.28987632,42.95373197,137289420,233679,Pharmacy,RP,Shoppers Drug Mart #1062,530 Commissioners Road West,0,0,London,N6J1Y6
-79.29215397,43.78419571,137289421,236293,Pharmacy,RP,Wal-Mart Pharmacy,3850 Sheppard Avenue East,0,0,Toronto,M1T3L4
-78.86332224,43.89786565,137289422,237577,Pharmacy,RP,Lovell Drugs,8 King Street East,0,0,Oshawa,L1H1A9
-78.96243437,43.87417074,137289423,238273,Pharmacy,RP,West Lynde Pharmacy,965 Dundas Street West,Unit B6,0,Whitby,L1P1G8
-79.39099259,43.65881749,137289424,240714,Pharmacy,RP,U&c Pharmacy,700 University Avenue,"Unit HSC112, Shopping Concourse",0,Toronto,M5G1Z5
-82.38866727,42.98505352,137289425,243472,Pharmacy,RP,Medicine Shoppe #247,429 Exmouth Street,0,0,Sarnia,N7T5P1
-79.47830173,43.82882381,137289426,247753,Pharmacy,RP,Summeridge Guardian Pharmacy,8707 Dufferin Street,Unit 24,0,Vaughan,L4J0A2
-79.08604481,43.83619503,137289427,249555,Pharmacy,RP,Shoppers Drug Mart #618,1355 Kingston Road,0,0,Pickering,L1V1B8
-79.25898437,43.96541475,137289428,249877,Pharmacy,LTCF,Parkview Home,123 Weldon Road,0,0,Whitchurch-Stouffville,L4A0G8
-82.7213017,42.17241926,137289429,253576,Pharmacy,LTCF,Country Village Health Cc,R.R. 2,0,0,South Woodslee,N0R1V0
-78.86609004,43.90436025,137289430,261718,Pharmacy,RP,Oshawa Health Centre Pharmacy,247 Simcoe Street North,0,0,Oshawa,L1G4T3
-79.0577164,43.85422024,137289431,262352,Pharmacy,RP,Pickering Village Pharmacy,59 Old Kingston Road,0,0,Ajax,L1T3A5
-75.67811383,45.40869235,137289432,264911,Pharmacy,RP,Watson's Phcy & Wellness Centr,192 Main Street,0,0,Ottawa,K1S1C2
-79.37502539,43.7063397,137289433,265876,Pharmacy,RP,Shoppers Drug Mart # 982,1601 Bayview Avenue,0,0,Toronto,M4G3B5
-76.54997152,44.25719322,137289434,270030,Pharmacy,RP,Freshco Pharmacy,2327 Princess Street,0,0,Kingston,K7M3G1
-79.3905088,43.84158712,137289435,273233,Pharmacy,RP,St Mary Pharmacy,95 Times Avenue,Unit C2,0,Markham,L3T0A2
-79.63082658,43.84013731,137289436,273359,Pharmacy,LTCF,Villa Colombo Di Poce Centre,10443 Ontario 27,0,0,Vaughan,L0J1C0
-81.19367658,42.77907945,137289437,276294,Pharmacy,RP,Yurek Pharmacy Limited,519 Talbot Street,0,0,St. Thomas,N5P1C3
-79.27410838,43.95514504,137289438,279638,Pharmacy,RP,Wal-Mart Pharmacy,1050 Hoover Park Drive,0,0,Whitchurch-Stouffville,L4A0K2
-78.86976084,43.90542115,137289439,283151,Pharmacy,HOPD,Lakeridge Health Corp Pharmacy,1 Hospital Court,Out Patient Pharmacy Dept,0,Oshawa,L1G2B9
-80.28109076,43.56553363,137289440,284551,Pharmacy,RP,Wal-Mart Pharmacy,11 Woodlawn Road West,0,0,Guelph,N1H1G8
-79.27484865,43.6936488,137289441,285391,Pharmacy,LTCF,Chester Village,3555 Danforth Avenue,0,0,Toronto,M1L1E3
-78.84127583,43.90364905,137289442,286513,Pharmacy,RP,Shoprite Pharmacy,600 King Street East,0,0,Oshawa,L1H1G6
-79.57588736,43.7842327,137289443,287335,Pharmacy,RP,Panacea Pharmacy,4600 Highway 7,0,0,Vaughan,L4L4Y7
-79.39574269,43.70757539,137289444,287718,Pharmacy,RP,Apex Drug Mart,90 Eglinton Avenue East,0,0,Toronto,M4P2Y3
-79.76491789,43.42907773,137289445,290517,Pharmacy,RP,Pharma Sense,2983 Westoak Trails Boulevard,Unit 8,0,Oakville,L6M5E4
-76.58230603,44.23692481,137289446,292454,Pharmacy,RP,Shoppers Drug Mart #608,1875 Bath Road,0,0,Kingston,K7M4Y3
-81.17509819,43.00559969,137289447,296593,Pharmacy,RP,Progressive Drug Mart,1920 Dundas Street,Unit 114,0,London,N5V3P1
-79.37458718,43.66301839,137289448,301710,Pharmacy,RP,Greendale Drugs,152 Carlton Street,0,0,Toronto,M5A2K1
-79.45390869,44.60314495,137289449,302675,Pharmacy,LTCF,Spencer House Inc,835 West Ridge Boulevard,0,0,Orillia,L3V8B3
-76.1604242,44.33132125,137289450,303335,Pharmacy,RP,Pharmasave #736,220 King Street East,0,0,Gananoque,K7G1G5
-81.23235281,42.95776518,137289451,307279,Pharmacy,RP,Shoppers Drug Mart #1146,645 Commissioners Road East,Suite 106,0,London,N6C2T9
-79.83687962,43.50821834,137289452,307590,Pharmacy,RP,Metro Pharmacy #571,1050 Kennedy Circle,0,0,Milton,L9T0J9
-79.14127462,43.79822212,137289453,313235,Pharmacy,RP,Drugstore Pharmacy #4342,70 Island Road,0,0,Toronto,M1C2P5
-80.54311083,43.44251029,137289454,315279,Pharmacy,RP,Beechwood Forest Pharmacy,890 Glasgow Street,0,0,Kitchener,N2N3G6
-79.35648299,43.80782981,137289455,319177,Pharmacy,RP,Cliffwood Ida Pharmacy,3885 Don Mills Road,0,0,Toronto,M2H2S7
-80.01701914,45.34104834,137289456,319952,Pharmacy,LTCF,Lakeland Ltc (Eldcap),6 Albert Street,0,0,Parry Sound,P2A3A4
-75.70217954,45.36725225,137289457,323796,Pharmacy,RP,Shoppers Drug Mart #626,888 Meadowlands Drive East,0,0,Ottawa,K2C3R2
-80.26391152,43.13870905,137289458,325197,Pharmacy,RP,University Pharmacy,160 Colborne Street,0,0,Brantford,N3T2G6
-79.29888237,43.78348181,137289459,332875,Pharmacy,RP,Bonis Birchmount Pharmacy,5 Bonis Avenue,0,0,Toronto,M1T2T9
-79.39899439,43.65256518,137289460,334533,Pharmacy,RP,Vita Pharmacy,525 Dundas Street West,Unit 2,0,Toronto,M5T1H4
-77.39110159,44.17618217,137289461,335337,Pharmacy,RP,Metro Pharmacy #521,110 North Front Street,0,0,Belleville,K8P3B6
-77.39593299,44.19594217,137289462,336611,Pharmacy,RP,Wal-Mart Pharmacy,274 Millenium Parkway,0,0,Belleville,K8N4Z5
-79.26885926,43.83323822,137289463,340134,Pharmacy,RP,Evergreen Drug Mart Ltd,2002 Middlefield Road,Unit 7,0,Markham,L3S1Y5
-79.2415694,43.17662981,137289464,340937,Pharmacy,RP,Loblaw Pharmacy #536,285 Geneva Street,Fairview Mall,0,St. Catharines,L2N2G1
-89.23974526,48.41285696,137289465,348831,Pharmacy,RP,Wal-Mart Pharmacy,777 Memorial Avenue,0,0,Thunder Bay,P7B3Z7
-79.76903521,43.63229876,137289466,349518,Pharmacy,RP,Bramiss Pharmacy,7955 Financial Drive,Unit 2B,0,Brampton,L6Y0J8
-79.66703547,43.59356076,137289467,349796,Pharmacy,RP,Drug Store Pharmacy #4077,620 Eglinton Avenue West,0,0,Mississauga,L5R3V2
-80.28590082,43.13106485,137289468,350792,Pharmacy,RP,Sobeys Phcy Stellard Lane#7505,310 Colborne Street West,0,0,Brantford,N3T1M2
-75.08275092,45.30565646,137289469,351390,Pharmacy,RP,Pharmacie Jean Coutu Pharmacy,629 Rue PRINCIPALE,Unit 1,0,Casselman,K0A1M0
-79.65970158,43.785548,137289470,351951,Pharmacy,RP,Freshco,3998 Cottrelle Boulevard,0,0,Brampton,L6P2R1
-81.26552408,44.63008916,137289471,353575,Pharmacy,RP,Sauble Pharmacy,329 Main Street,0,0,Sauble Beach,N0H2G0
-83.0137757,42.27493897,137289472,357474,Pharmacy,RP,West Grand Pharmacy,2950 Dougall Road,0,0,Windsor,N9E1S2
-76.4644323,44.31249553,137289473,358534,Pharmacy,LTCF,Fairmount Home,2060 Battersea Road,0,0,Kingston,K0H1S0
-79.3616953,43.86949262,137289474,358794,Pharmacy,RP,Shoppers Drug Mart #640,9255 Woodbine Avenue,0,0,Markham,L6C1Y9
-79.45659216,44.23204018,137289475,359819,Pharmacy,LTCF,Cedarvale Lodge Retire & Care,121 Morton Avenue,0,0,Georgina,L4P2M5
-89.27964247,48.39377186,137289476,362958,Pharmacy,RP,Shoppers Drug Mart #679,425 North Edward Street,0,0,Thunder Bay,P7C4P7
-79.70708028,43.60345656,137289477,363911,Pharmacy,RP,St Mary's Medical Care Phcy,1201 Britannia Road West,0,0,Mississauga,L5V1N2
-79.40829839,43.65841479,137289478,366794,Pharmacy,AS,"Beharry, Rajendra Dr",567 Bathurst Street,0,0,Toronto,M5S2P8
-78.86454214,43.91500166,137289479,367757,Pharmacy,LTCF,Hillsdale Terraces,600 Oshawa Boulevard North,0,0,Oshawa,L1G5T9
-79.44015262,43.89424503,137289480,368836,Pharmacy,RP,Loblaw Pharmacy #1208,10909 Yonge Street,0,0,Richmond Hill,L4C3E3
-81.09671559,44.30276632,137289481,371332,Pharmacy,LTCF,Parkview Manor Nursing Home,98 Third Street East,0,0,Chesley,N0G1L0
-74.98763901,45.54038671,137289482,377416,Pharmacy,RP,Pharmacie Plantagenet,181 Old Highway 17,0,0,Plantagenet,K0B1L0
-79.743058,43.62175076,137289483,377559,Pharmacy,RP,Shoppers Drug Mart #901,7235 Bellshire Gate,0,0,Mississauga,L5N8A2
-78.38760164,44.52097778,137289484,386914,Pharmacy,RP,Ennismore Pharmacy,Six Foot Bay Road,Iga Plaza,0,Peterborough,K9J6X2
-79.60590616,43.73517679,137289485,387799,Pharmacy,RP,Specialty Rx,25 Woodbine Downs Boulevard,0,0,Toronto,M9W6N5
-79.87713894,43.63250756,137289486,389396,Pharmacy,RP,Metro Pharmacy #565,367 Mountainview Road South,0,0,Halton Hills,L7G5X3
-79.71808107,43.46891504,137289487,393675,Pharmacy,RP,River Oaks Medical Pharmacy,2163 Sixth Line,0,0,Oakville,L6H3N7
-79.06618594,43.1068991,137289488,397519,Pharmacy,RP,Queen Street Pharmacy,4421 Queen Street,0,0,Niagara Falls,L2E2L2
-79.42414991,43.82378601,137289489,398670,Pharmacy,RP,Shoppers Drug Mart #657,10 Royal Orchard Boulevard,0,0,Markham,L3T3C3
-75.67191963,45.38440685,137289490,399152,Pharmacy,RP,Kilborn Pharmacy,1385 Bank Street,0,0,Ottawa,K1H8N4
-78.19521366,44.31697136,137289491,402059,Pharmacy,LTCF,Springdale Country Manor,1726 Highway 7,"R.R. 5, Unit A",0,Peterborough,K9J6X6
-74.86318555,45.28411657,137289492,409739,Pharmacy,LTCF,Maxville Manor,80 Mechanic Street,0,0,Maxville,K0C1T0
-79.70953476,43.39514262,137289493,411815,Pharmacy,RP,Bronte Centre Pharmacy,78 Jones Street,0,0,Oakville,L6L6C5
-80.49005172,43.4353985,137289494,414518,Pharmacy,RP,Medicine Shoppe #250,296 Highland Road East,0,0,Kitchener,N2M3W4
-78.80808882,43.90702886,137289495,416071,Pharmacy,RP,Shoppers Drug Mart #689,1430 King Street East,0,0,Courtice,L1E2J5
-79.76012781,43.74066318,137289496,417631,Pharmacy,RP,Springdale Pharmacy,630 Peter Robertson Boulevard,0,0,Brampton,L6R1T4
-75.45531836,45.46978207,137289497,424071,Pharmacy,RP,Sobeys Pharmacy,5150 Innes Road,0,0,Ottawa,K4A0G4
-79.67185376,47.53291831,137289498,425150,Pharmacy,RP,Wal-Mart Pharmacy,133 Ontario 11,0,0,Temiskaming Shores,P0J1P0
-79.76952911,43.69359357,137289499,426694,Pharmacy,RP,Thistle Pharmacy,332 Main Street North,0,0,Brampton,L6V1P8
-79.66306358,43.77330549,137289500,429879,Pharmacy,RP,Pharma 7 Care,4550 Ebenezer Road,0,0,Brampton,L6P2R2
-79.25058056,43.85147983,137289501,430037,Pharmacy,RP,Costco Pharmacy #545,65 Kirkham Drive,0,0,Markham,L3S0A9
-79.34325867,43.66779559,137289502,436834,Pharmacy,RP,Medi Choice Pharmacy,842 Gerrard Street East,Unit 2,0,Toronto,M4M1Y7
-80.47263291,43.4570334,137289503,437076,Pharmacy,RP,Frederick Mall Pharmacy,385 Frederick Street,Unit 15,0,Kitchener,N2H2P2
-82.92755457,42.29910898,137289504,441551,Pharmacy,LTCF,Riverside Place,3181 Meadowbrook Lane,0,0,Windsor,N8T0A4
-79.22409909,43.1360932,137289505,448199,Pharmacy,RP,Loblaw Pharmacy #522,221 Glendale Avenue,0,0,St. Catharines,L2T2K9
-80.51085392,43.42500719,137289506,453734,Pharmacy,RP,Greenbrook Pharmacy,421 Greenbrook Drive,0,0,Kitchener,N2M4K1
-79.51972413,43.70125949,137289507,457874,Pharmacy,RP,Shoppers Drug Mart #876,1995 Weston Road,0,0,Toronto,M9N1X2
-79.22397128,42.99056398,137289508,460931,Pharmacy,LTCF,Foyer Richelieu Welland,655 Tanguay Avenue,0,0,Welland,L3B6A1
-79.47346802,43.68162429,137289509,462797,Pharmacy,RP,Keele & Rogers Pharmacy,605 Rogers Road,0,0,Toronto,M6M1B9
-81.40413948,43.18843321,137289510,463956,Pharmacy,RP,Lucan Drug Mart,180 Main Street,0,0,Lucan,N0M2J0
-78.3227845,44.30345365,137289511,466196,Pharmacy,RP,New Day Pharmacy Inc,226 Charlotte Street,0,0,Peterborough,K9J2T8
-78.34749151,44.29996845,137289512,467550,Pharmacy,HOPD,Peterborough Hospital Pharmacy,1 Hospital Drive,0,0,Peterborough,K9J7C6
-80.75668277,43.10811442,137289513,468112,Pharmacy,LTCF,Woodingford Lodge - Woodstock,300 Juliana Drive,0,0,Woodstock,N4V0A1
-79.79268599,43.35630971,137289514,468871,Pharmacy,RP,Innomar Specialty Pharmacy Inc,3250 Harvester Road,Unit 4,0,Burlington,L7N3W9
-79.73981569,43.54042445,137289515,469193,Pharmacy,RP,Angel Pharmacy,3955 Erin Centre Boulevard,0,0,Mississauga,L5M0H1
-79.03352039,43.83001543,137289516,469255,Pharmacy,RP,Discovery Bay Pharmacy,570 Westney Road South,Unit 23,0,Ajax,L1S6V5
-79.7549743,43.64435357,137289517,472072,Pharmacy,RP,Drugstore Pharmacy #4329,70 Clementine Drive,0,0,Brampton,L6Y0L8
-79.12511047,44.42740873,137289518,473393,Pharmacy,RP,Drug Store Pharmacy #4307,30 Beaver Avenue,Unit B,0,Beaverton,L0K1A0
-79.32370538,43.81442582,137289519,477790,Pharmacy,RP,A&w Pharmacy,325 Bamburgh Circle,Unit A108,0,Toronto,M1W3Y1
-79.48502453,43.81108131,137289520,486799,Pharmacy,RP,Woodvalley Pharmacy Inc,422 North Rivermede Road,Unit 13,0,Vaughan,L4K3R5
-79.58620196,43.75058419,137289521,487958,Pharmacy,RP,Grace Pharmacy,2630 Kipling Avenue,0,0,Toronto,M9V4B9
-79.51972393,43.63158098,137289522,489233,Pharmacy,RP,Loblaw Pharmacy,1020 Islington Avenue,0,0,Toronto,M8Z6A4
-94.4908529,49.76622224,137289523,492997,Pharmacy,RP,Tilleys Pharmasave 492,201 Main Street South,0,0,Kenora,P9N1T3
-79.51542463,43.64617628,137289524,495958,Pharmacy,RP,Cosmo Pharmacy,3101 Bloor Street West,0,0,Toronto,M8X2W2
-79.10254645,43.1047041,137289525,499151,Pharmacy,RP,Niagara Falls Centre Pharmacy,6453 Morrison Street,0,0,Niagara Falls,L2E7H1
-79.64563356,43.58825176,137289526,502673,Pharmacy,RP,Living Arts Phcy (Remedy's Rx),4100 Living Arts Drive,0,0,Mississauga,L5B4M8
-83.0237929,42.25320686,137289527,505670,Pharmacy,LTCF,"Huron Lodge,municipal Ltc Home",1881 Cabana Road West,0,0,Windsor,N9G1C7
-79.13695266,43.0792264,137289528,505732,Pharmacy,LTCF,Meadows of Dorchester,6623 Kalar Road,0,0,Niagara Falls,L2H2T3
-83.07535922,42.30136107,137289529,509239,Pharmacy,RP,Sandwich Pharmacy,3211 Sandwich Street,0,0,Windsor,N9C1A9
-80.26522255,43.52866052,137289530,521876,Pharmacy,RP,Drug Store Pharmacy #4344,191 Silvercreek Parkway,0,0,Guelph,N1H3P2
-79.7347674,43.70681138,137289531,522517,Pharmacy,RP,Healthplex Pharmacy,150 West Drive,Unit 101A,0,Brampton,L6T4P9
-82.94104318,42.30717958,137289532,522599,Pharmacy,RP,Family Health Pharmacy,6720 Hawthorne Drive,0,0,Windsor,N8T1J9
-75.69598713,45.38748295,137289533,522857,Pharmacy,RP,The Prescription Shop,1125 Colonel by Drive,Carleton University,0,Ottawa,K1S5R1
-81.115388,43.26021923,137289534,523473,Pharmacy,RP,Drug Store Pharmacy #4309,780 Queen Street East,Postal Office Box 220,0,Saint Marys,N4X1B1
-79.21736144,43.73753571,137289535,524597,Pharmacy,RP,Amherst Pharmasave #721,3485 Kingston Road,0,0,Toronto,M1M1R4
-79.8709435,43.25143969,137289536,525391,Pharmacy,RP,Medical Arts Pharmacy,179 James Street South,0,0,Hamilton,L8P3A3
-81.69599931,43.56162296,137289537,529235,Pharmacy,RP,Pharmasave Michael's Pharmacy,2 Main Street South,0,0,Bluewater,N0M1G0
-76.36077916,45.43923793,137289538,533890,Pharmacy,LTCF,Grove Arnprior & District Nh,275 Ida Street North,0,0,Arnprior,K7S3M7
-81.70777243,43.74060599,137289539,538591,Pharmacy,RP,Drugstore Pharmacy #532,Highway 8,Postal Office Box 365,0,Goderich,N7A3X8
